id,model_id,algo_id,balance_classes,class_sampling_factors,max_after_balance_size,activation,hidden,epochs,train_samples_per_iteration,target_ratio_comm_to_comp,seed,adaptive_rate,rho,epsilon,rate,rate_annealing,rate_decay,momentum_start,momentum_ramp,momentum_stable,nesterov_accelerated_gradient,input_dropout_ratio,hidden_dropout_ratios,l1,l2,max_w2,initial_weight_distribution,initial_weight_scale,initial_weights,initial_biases,loss,distribution,tweedie_power,quantile_alpha,score_interval,score_training_samples,score_validation_samples
1,DeepLearning_1_AutoML_20190416_222141,4,FALSE,null,5,Rectifier,null,10,-2,0,2.49387e18,TRUE,0.99,0,0,0,1,0,1000000,0,TRUE,0,null,0,0,3402820000,UniformAdaptive,1,null,null,Automatic,AUTO,2,0.5,5,10000,0
2,DeepLearning_1_AutoML_20190416_235225,4,FALSE,null,5,Rectifier,null,10,-2,0,4.25512e18,TRUE,0.99,0,0,0,1,0,1000000,0,TRUE,0,null,0,0,3402820000,UniformAdaptive,1,null,null,Automatic,AUTO,2,0.5,5,10000,0
