Model Name,seed,tweedie_variance_power,tweedie_link_power,alpha,lambda,missing_values_handling,standardize,theta
GLM_grid_1_AutoML_20190419_184714_model_1,1.86091E+18,0,1,"0,0.2,0.4,0.6,0.8,1.0","156465.93492127347,97167.99641501333, 60342.971983381794, 37474.00792576794, 23271.993802480545",MeanImputation,TRUE,1.00E-10
GLM_grid_1_AutoML_20190419_200713_model_1,2.62572E+18,0,1,"0,0.2,0.4,0.6,0.8,1.0","156465.93492127347, 97167.99641501333, 60342.971983381794, 37474.00792576794, 23271.993802480545",MeanImputation,TRUE,1.00E-10
GLM_grid_1_AutoML_20190419_205801_model_1,3.04233E+18,0,1,"0,0.2,0.4,0.6,0.8,1.0","156465.93492127347,97167.99641501333, 60342.971983381794, 37474.00792576794, 23271.993802480545",MeanImputation,TRUE,1.00E-10
GLM_grid_1_AutoML_20190419_200713_model_1,2.62572E+18,0,1,"0,0.2,0.4,0.6,0.8,1.0","156465.93492127347,97167.99641501333, 60342.971983381794, 37474.00792576794, 23271.993802480545",MeanImputation,TRUE,1.00E-10
GLM_grid_1_AutoML_20190419_174950_model_1,6.01366E+18,0,1,"0,0.2,0.4,0.6,0.8,1.0","156465.93492127347,97167.99641501333, 60342.971983381794, 37474.00792576794, 23271.993802480545",MeanImputation,TRUE,1.00E-10
